source	target	relation	type	attributes
LEM::мочь::VERB	LEM::подать::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 14, ""doc_freq"": 5, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 1, \""sent_id\"": \""1\"", \""head_idx\"": 15, \""dep_idx\"": 1}, {\""article_id\"": \""364076\"", \""row_idx\"": 3, \""sent_id\"": \""3\"", \""head_idx\"": 13, \""dep_idx\"": 1}, {\""article_id\"": \""418386\"", \""row_idx\"": 85, \""sent_id\"": \""85\"", \""head_idx\"": 1, \""dep_idx\"": 2}, {\""article_id\"": \""429494\"", \""row_idx\"": 113, \""sent_id\"": \""113\"", \""head_idx\"": 2, \""dep_idx\"": 3}, {\""article_id\"": \""429494\"", \""row_idx\"": 114, \""sent_id\"": \""114\"", \""head_idx\"": 10, \""dep_idx\"": 1}]""}"
LEM::мочь::VERB	LEM::один::NUM	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 1, \""sent_id\"": \""1\"", \""head_idx\"": 15, \""dep_idx\"": 16}, {\""article_id\"": \""364076\"", \""row_idx\"": 3, \""sent_id\"": \""3\"", \""head_idx\"": 13, \""dep_idx\"": 14}]""}"
LEM::мочь::VERB	LEM::оформить::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 2, ""doc_freq"": 2, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 7, \""sent_id\"": \""7\"", \""head_idx\"": 2, \""dep_idx\"": 3}, {\""article_id\"": \""429494\"", \""row_idx\"": 117, \""sent_id\"": \""117\"", \""head_idx\"": 2, \""dep_idx\"": 3}]""}"
LEM::мочь::VERB	LEM::ее::PRON	obj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 8, \""sent_id\"": \""8\"", \""head_idx\"": 11, \""dep_idx\"": 10}]""}"
LEM::мочь::VERB	LEM::получить::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 3, ""doc_freq"": 2, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 8, \""sent_id\"": \""8\"", \""head_idx\"": 11, \""dep_idx\"": 12}, {\""article_id\"": \""364076\"", \""row_idx\"": 9, \""sent_id\"": \""9\"", \""head_idx\"": 10, \""dep_idx\"": 11}, {\""article_id\"": \""429494\"", \""row_idx\"": 119, \""sent_id\"": \""119\"", \""head_idx\"": 2, \""dep_idx\"": 3}]""}"
LEM::мочь::VERB	LEM::что::PRON	obl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obl"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""390544\"", \""row_idx\"": 61, \""sent_id\"": \""61\"", \""head_idx\"": 2, \""dep_idx\"": 1}]""}"
LEM::мочь::VERB	LEM::рассчитывать::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""390544\"", \""row_idx\"": 61, \""sent_id\"": \""61\"", \""head_idx\"": 2, \""dep_idx\"": 3}, {\""article_id\"": \""390544\"", \""row_idx\"": 63, \""sent_id\"": \""63\"", \""head_idx\"": 3, \""dep_idx\"": 4}]""}"
LEM::мочь::VERB	LEM::семья::NOUN	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""390544\"", \""row_idx\"": 61, \""sent_id\"": \""61\"", \""head_idx\"": 2, \""dep_idx\"": 5}]""}"
LEM::мочь::VERB	LEM::поддержка::NOUN	obl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obl"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""390544\"", \""row_idx\"": 63, \""sent_id\"": \""63\"", \""head_idx\"": 3, \""dep_idx\"": 2}]""}"
LEM::мочь::VERB	LEM::загрузка::NOUN	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 3, ""doc_freq"": 2, ""samples"": ""[{\""article_id\"": \""407639\"", \""row_idx\"": 66, \""sent_id\"": \""66\"", \""head_idx\"": 6, \""dep_idx\"": 1}, {\""article_id\"": \""438413\"", \""row_idx\"": 153, \""sent_id\"": \""153\"", \""head_idx\"": 6, \""dep_idx\"": 1}, {\""article_id\"": \""438413\"", \""row_idx\"": 156, \""sent_id\"": \""156\"", \""head_idx\"": 9, \""dep_idx\"": 1}]""}"
LEM::мочь::VERB	LEM::занять::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""407639\"", \""row_idx\"": 66, \""sent_id\"": \""66\"", \""head_idx\"": 6, \""dep_idx\"": 7}]""}"
LEM::мочь::VERB	LEM::класс::NOUN	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""418386\"", \""row_idx\"": 85, \""sent_id\"": \""85\"", \""head_idx\"": 1, \""dep_idx\"": 9}]""}"
LEM::мочь::VERB	LEM::класс::NOUN	obl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obl"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449398\"", \""row_idx\"": 309, \""sent_id\"": \""309\"", \""head_idx\"": 5, \""dep_idx\"": 3}, {\""article_id\"": \""449398\"", \""row_idx\"": 318, \""sent_id\"": \""318\"", \""head_idx\"": 5, \""dep_idx\"": 3}]""}"
LEM::мочь::VERB	LEM::сохранить::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""429062\"", \""row_idx\"": 109, \""sent_id\"": \""109\"", \""head_idx\"": 1, \""dep_idx\"": 2}]""}"
LEM::мочь::VERB	LEM::-::NOUN	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""429062\"", \""row_idx\"": 109, \""sent_id\"": \""109\"", \""head_idx\"": 1, \""dep_idx\"": 7}]""}"
LEM::мочь::VERB	LEM::начинать::VERB	conj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""conj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""429062\"", \""row_idx\"": 109, \""sent_id\"": \""109\"", \""head_idx\"": 1, \""dep_idx\"": 8}]""}"
LEM::мочь::VERB	LEM::любой::DET	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""429494\"", \""row_idx\"": 114, \""sent_id\"": \""114\"", \""head_idx\"": 10, \""dep_idx\"": 11}, {\""article_id\"": \""429494\"", \""row_idx\"": 115, \""sent_id\"": \""115\"", \""head_idx\"": 8, \""dep_idx\"": 9}]""}"
LEM::мочь::VERB	LEM::родитель::NOUN	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""429494\"", \""row_idx\"": 114, \""sent_id\"": \""114\"", \""head_idx\"": 10, \""dep_idx\"": 15}]""}"
LEM::мочь::VERB	LEM::родитель::NOUN	conj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""conj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""429494\"", \""row_idx\"": 115, \""sent_id\"": \""115\"", \""head_idx\"": 8, \""dep_idx\"": 14}]""}"
LEM::мочь::VERB	LEM::заполнить::VERB	advcl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""advcl"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""437859\"", \""row_idx\"": 141, \""sent_id\"": \""141\"", \""head_idx\"": 11, \""dep_idx\"": 7}]""}"
LEM::мочь::VERB	LEM::вернуться::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""437859\"", \""row_idx\"": 141, \""sent_id\"": \""141\"", \""head_idx\"": 11, \""dep_idx\"": 12}]""}"
LEM::мочь::VERB	LEM::занимать::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""438413\"", \""row_idx\"": 153, \""sent_id\"": \""153\"", \""head_idx\"": 6, \""dep_idx\"": 7}, {\""article_id\"": \""438413\"", \""row_idx\"": 156, \""sent_id\"": \""156\"", \""head_idx\"": 9, \""dep_idx\"": 10}]""}"
LEM::мочь::VERB	LEM::отправить::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""448586\"", \""row_idx\"": 200, \""sent_id\"": \""200\"", \""head_idx\"": 1, \""dep_idx\"": 2}]""}"
LEM::мочь::VERB	LEM::видеть::VERB	conj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""conj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""448586\"", \""row_idx\"": 200, \""sent_id\"": \""200\"", \""head_idx\"": 1, \""dep_idx\"": 6}]""}"
LEM::мочь::VERB	LEM::добавить::VERB	advcl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""advcl"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""448586\"", \""row_idx\"": 200, \""sent_id\"": \""200\"", \""head_idx\"": 1, \""dep_idx\"": 9}]""}"
LEM::мочь::VERB	LEM::почему::ADV	advmod	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""advmod"", ""count"": 2, ""doc_freq"": 2, ""samples"": ""[{\""article_id\"": \""449214\"", \""row_idx\"": 219, \""sent_id\"": \""219\"", \""head_idx\"": 2, \""dep_idx\"": 1}, {\""article_id\"": \""449394\"", \""row_idx\"": 298, \""sent_id\"": \""298\"", \""head_idx\"": 2, \""dep_idx\"": 1}]""}"
LEM::мочь::VERB	LEM::пройти::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449394\"", \""row_idx\"": 298, \""sent_id\"": \""298\"", \""head_idx\"": 2, \""dep_idx\"": 3}]""}"
LEM::мочь::VERB	LEM::заявление::NOUN	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 3, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449398\"", \""row_idx\"": 307, \""sent_id\"": \""307\"", \""head_idx\"": 8, \""dep_idx\"": 1}, {\""article_id\"": \""449398\"", \""row_idx\"": 317, \""sent_id\"": \""317\"", \""head_idx\"": 10, \""dep_idx\"": 1}, {\""article_id\"": \""449398\"", \""row_idx\"": 321, \""sent_id\"": \""321\"", \""head_idx\"": 7, \""dep_idx\"": 1}]""}"
LEM::мочь::VERB	LEM::ученик::NOUN	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449398\"", \""row_idx\"": 309, \""sent_id\"": \""309\"", \""head_idx\"": 5, \""dep_idx\"": 4}, {\""article_id\"": \""449398\"", \""row_idx\"": 318, \""sent_id\"": \""318\"", \""head_idx\"": 5, \""dep_idx\"": 4}]""}"
LEM::мочь::VERB	LEM::сам::ADJ	punct	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""punct"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449398\"", \""row_idx\"": 309, \""sent_id\"": \""309\"", \""head_idx\"": 5, \""dep_idx\"": 8}, {\""article_id\"": \""449398\"", \""row_idx\"": 318, \""sent_id\"": \""318\"", \""head_idx\"": 5, \""dep_idx\"": 8}]""}"
LEM::мочь::VERB	LEM::вам::PRON	iobj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""iobj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449398\"", \""row_idx\"": 319, \""sent_id\"": \""319\"", \""head_idx\"": 2, \""dep_idx\"": 1}]""}"
LEM::мочь::VERB	LEM::отказать::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449398\"", \""row_idx\"": 319, \""sent_id\"": \""319\"", \""head_idx\"": 2, \""dep_idx\"": 3}, {\""article_id\"": \""449398\"", \""row_idx\"": 332, \""sent_id\"": \""332\"", \""head_idx\"": 5, \""dep_idx\"": 1}]""}"
LEM::мочь::VERB	LEM::случай::NOUN	obl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obl"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449398\"", \""row_idx\"": 332, \""sent_id\"": \""332\"", \""head_idx\"": 5, \""dep_idx\"": 7}]""}"
INST::364076::0::0::3::обратиться	LEM::обратиться::VERB	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::364076::0::0::3::обратиться	INST::364076::0::0::4::услугой	obl	dep	"{""type"": ""dep"", ""label"": ""obl"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 3, \""dep_idx\"": 4}""]}"
INST::364076::0::0::3::обратиться	INST::364076::0::0::4::услугой	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""i\"": 3}""]}"
LEM::обратиться::VERB	LEM::услуга::NOUN	obl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obl"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 3, \""dep_idx\"": 4}]""}"
LEM::обратиться::VERB	LEM::ввести::VERB	advcl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""advcl"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449394\"", \""row_idx\"": 279, \""sent_id\"": \""279\"", \""head_idx\"": 10, \""dep_idx\"": 2}, {\""article_id\"": \""449394\"", \""row_idx\"": 280, \""sent_id\"": \""280\"", \""head_idx\"": 10, \""dep_idx\"": 2}]""}"
LEM::обратиться::VERB	LEM::обратиться::VERB	ROOT	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""ROOT"", ""count"": 4, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449394\"", \""row_idx\"": 279, \""sent_id\"": \""279\"", \""head_idx\"": 10, \""dep_idx\"": 10}, {\""article_id\"": \""449394\"", \""row_idx\"": 280, \""sent_id\"": \""280\"", \""head_idx\"": 10, \""dep_idx\"": 10}, {\""article_id\"": \""449394\"", \""row_idx\"": 283, \""sent_id\"": \""283\"", \""head_idx\"": 5, \""dep_idx\"": 5}, {\""article_id\"": \""449394\"", \""row_idx\"": 294, \""sent_id\"": \""294\"", \""head_idx\"": 5, \""dep_idx\"": 5}]""}"
LEM::обратиться::VERB	LEM::центр::NOUN	obl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obl"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449394\"", \""row_idx\"": 279, \""sent_id\"": \""279\"", \""head_idx\"": 10, \""dep_idx\"": 11}, {\""article_id\"": \""449394\"", \""row_idx\"": 280, \""sent_id\"": \""280\"", \""head_idx\"": 10, \""dep_idx\"": 11}]""}"
LEM::обратиться::VERB	LEM::нет::VERB	advcl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""advcl"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449394\"", \""row_idx\"": 283, \""sent_id\"": \""283\"", \""head_idx\"": 5, \""dep_idx\"": 2}, {\""article_id\"": \""449394\"", \""row_idx\"": 294, \""sent_id\"": \""294\"", \""head_idx\"": 5, \""dep_idx\"": 2}]""}"
LEM::обратиться::VERB	LEM::поддержка::NOUN	obl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obl"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449394\"", \""row_idx\"": 283, \""sent_id\"": \""283\"", \""head_idx\"": 5, \""dep_idx\"": 7}, {\""article_id\"": \""449394\"", \""row_idx\"": 294, \""sent_id\"": \""294\"", \""head_idx\"": 5, \""dep_idx\"": 7}]""}"
LEM::обратиться::VERB	LEM::точка::NOUN	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449394\"", \""row_idx\"": 283, \""sent_id\"": \""283\"", \""head_idx\"": 5, \""dep_idx\"": 10}]""}"
LEM::обратиться::VERB	LEM::mos.ru::PROPN	obl	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""obl"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449394\"", \""row_idx\"": 294, \""sent_id\"": \""294\"", \""head_idx\"": 5, \""dep_idx\"": 8}]""}"
INST::364076::0::0::4::услугой	LEM::услуга::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::364076::0::0::4::услугой	INST::364076::0::0::6::компенсация	appos	dep	"{""type"": ""dep"", ""label"": ""appos"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 4, \""dep_idx\"": 6}""]}"
INST::364076::0::0::4::услугой	INST::364076::0::0::5::Ежемесячная	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""i\"": 4}""]}"
LEM::услуга::NOUN	LEM::компенсация::NOUN	appos	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""appos"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 4, \""dep_idx\"": 6}]""}"
LEM::услуга::NOUN	LEM::назначение::NOUN	appos	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""appos"", ""count"": 2, ""doc_freq"": 2, ""samples"": ""[{\""article_id\"": \""366817\"", \""row_idx\"": 12, \""sent_id\"": \""12\"", \""head_idx\"": 4, \""dep_idx\"": 5}, {\""article_id\"": \""368816\"", \""row_idx\"": 30, \""sent_id\"": \""30\"", \""head_idx\"": 3, \""dep_idx\"": 4}]""}"
LEM::услуга::NOUN	LEM::образовательный::ADJ	amod	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""amod"", ""count"": 3, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""418386\"", \""row_idx\"": 74, \""sent_id\"": \""74\"", \""head_idx\"": 18, \""dep_idx\"": 17}, {\""article_id\"": \""418386\"", \""row_idx\"": 78, \""sent_id\"": \""78\"", \""head_idx\"": 18, \""dep_idx\"": 17}, {\""article_id\"": \""418386\"", \""row_idx\"": 79, \""sent_id\"": \""79\"", \""head_idx\"": 16, \""dep_idx\"": 15}]""}"
LEM::услуга::NOUN	LEM::департамент::PROPN	nmod	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nmod"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""418386\"", \""row_idx\"": 78, \""sent_id\"": \""78\"", \""head_idx\"": 18, \""dep_idx\"": 19}]""}"
LEM::услуга::NOUN	LEM::пособие::NOUN	appos	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""appos"", ""count"": 2, ""doc_freq"": 2, ""samples"": ""[{\""article_id\"": \""430390\"", \""row_idx\"": 121, \""sent_id\"": \""121\"", \""head_idx\"": 3, \""dep_idx\"": 5}, {\""article_id\"": \""431778\"", \""row_idx\"": 131, \""sent_id\"": \""131\"", \""head_idx\"": 4, \""dep_idx\"": 6}]""}"
LEM::услуга::NOUN	LEM::какой::DET	det	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""det"", ""count"": 2, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""447786\"", \""row_idx\"": 175, \""sent_id\"": \""175\"", \""head_idx\"": 2, \""dep_idx\"": 1}, {\""article_id\"": \""447786\"", \""row_idx\"": 178, \""sent_id\"": \""178\"", \""head_idx\"": 3, \""dep_idx\"": 2}]""}"
LEM::услуга::NOUN	LEM::запись::NOUN	appos	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""appos"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""449398\"", \""row_idx\"": 322, \""sent_id\"": \""322\"", \""head_idx\"": 13, \""dep_idx\"": 14}]""}"
INST::364076::0::0::5::Ежемесячная	LEM::ежемесячный::ADJ	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::364076::0::0::5::Ежемесячная	INST::364076::0::0::6::компенсация	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""i\"": 5}""]}"
INST::364076::0::0::6::компенсация	LEM::компенсация::NOUN	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::364076::0::0::6::компенсация	INST::364076::0::0::5::Ежемесячная	amod	dep	"{""type"": ""dep"", ""label"": ""amod"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 6, \""dep_idx\"": 5}""]}"
INST::364076::0::0::6::компенсация	INST::364076::0::0::7::покупку	nmod	dep	"{""type"": ""dep"", ""label"": ""nmod"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 6, \""dep_idx\"": 7}""]}"
INST::364076::0::0::6::компенсация	INST::364076::0::0::7::покупку	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""i\"": 6}""]}"
LEM::компенсация::NOUN	LEM::ежемесячный::ADJ	amod	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""amod"", ""count"": 3, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 6, \""dep_idx\"": 5}, {\""article_id\"": \""364076\"", \""row_idx\"": 1, \""sent_id\"": \""1\"", \""head_idx\"": 5, \""dep_idx\"": 4}, {\""article_id\"": \""364076\"", \""row_idx\"": 3, \""sent_id\"": \""3\"", \""head_idx\"": 5, \""dep_idx\"": 4}]""}"
LEM::компенсация::NOUN	LEM::покупка::NOUN	nmod	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nmod"", ""count"": 3, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 6, \""dep_idx\"": 7}, {\""article_id\"": \""364076\"", \""row_idx\"": 1, \""sent_id\"": \""1\"", \""head_idx\"": 5, \""dep_idx\"": 6}, {\""article_id\"": \""364076\"", \""row_idx\"": 3, \""sent_id\"": \""3\"", \""head_idx\"": 5, \""dep_idx\"": 6}]""}"
